Date/Time,CORE_ZN:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CORE_ZN:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_1:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_2:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_3:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_4:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/11  18:00:00,22.008114466882386,21.446314582428958,21.24225663271429,21.12436545412729,21.554779632847627,9.242645097571693,-0.3013020737793022,-0.419338448889168,-0.569980612493462,-0.6214997470990867,-0.5004670462932632 
 01/11  19:00:00,21.26248991196688,21.117825551443378,21.110406458768775,21.11001090751921,21.1290644374899,5.7804331104229405,-0.45087182411257265,-0.5278841258438007,-0.6244520187233167,-0.6540867619669873,-0.600828778566232 
 01/11  20:00:00,21.468264468999614,21.170275486411068,20.16448528160262,19.915434219628448,20.28495752589737,4.0521232134457765,-0.4414161928145715,-0.5507264907610732,-0.7793319518194602,-0.8417066771497523,-0.746315041946002 
 01/11  21:00:00,21.383530785526926,20.97075624808701,19.785104493690014,19.498059261027343,19.907334805683135,2.8971523274967734,-0.4467691408242813,-0.5953690276147492,-0.856980886835547,-0.9255569766629828,-0.8247785349194885 
 01/11  22:00:00,21.307781516031483,20.920827528357687,19.700022707440827,19.401339447339236,19.81758583091769,3.074775918194497,-0.4497789616696451,-0.6153599683759541,-0.885294799888561,-0.9547671464917354,-0.8547274837774486 
 01/11  23:00:00,21.20429703023358,20.76929676189286,19.544651389730458,19.24583288327444,19.65660818101469,2.47741025827693,-0.46429123263822636,-0.6477646972272549,-0.9184688123374437,-0.9876800450233433,-0.8892535187311446 
 01/11  24:00:00,21.043095670992642,20.441677663405173,19.192869597026075,18.902844745297713,19.302809751019588,1.4291126460406303,-0.4936116938278323,-0.7104682973526307,-0.9834474077229379,-1.049791497212503,-0.9558629000137777 
 01/12  01:00:00,21.19101319740093,20.441273102738386,19.20104842522643,18.93558515356318,19.308381664956414,0.7473460340712219,-0.4812419058620754,-0.7308435239740012,-1.0033897034060641,-1.0655207122136825,-0.9758331993665568 
 01/12  02:00:00,21.16479405481448,20.24763569042347,19.01371974978209,18.760850378601994,19.11983809983194,-0.6278088434915952,-0.48825594095476516,-0.7743195562225808,-1.0455654045513798,-1.1030887165055092,-1.0187151901245175 
 01/12  03:00:00,21.11624228096173,20.132361613263708,18.91120204038906,18.666045634415454,19.01265896695501,-1.121884279553634,-0.4992924537915281,-0.8063270542622137,-1.0751813086169846,-1.130150122970023,-1.050127813686797 
 01/12  04:00:00,21.066830890509515,20.050646954021143,18.849458241706266,18.6092173797612,18.946552560061278,-1.6984770132763203,-0.5106617760246719,-0.8334780815160943,-1.099054284157416,-1.1519616573976879,-1.0746952668488934 
 01/12  05:00:00,21.166451157425996,19.88001147453834,18.692621048649592,18.4601995125551,18.792241067039463,-3.3540909939633634,-0.5015746164040187,-0.8713700865219464,-1.132551119291557,-1.1846542879959876,-1.108406893174304 
 01/12  06:00:00,21.374117527238287,19.743940441314948,18.56964318491576,18.34894995515794,18.66375418139038,-3.510626837472616,-0.47185000555656936,-0.9032214242309307,-1.161403361448894,-1.211055581127132,-1.1381888184893614 
 01/12  07:00:00,21.806992134288464,21.030272877922453,20.915746615673058,20.95760712910463,20.884174378439454,-2.866032110983805,-0.40509568003243024,-0.7240892391038931,-0.8278645177987942,-0.8372027786801931,-0.823632731137888 
 01/12  08:00:00,21.213651681550708,21.10994006331334,21.10972571338426,21.10993952737258,21.109384773806923,-2.969647041071545,-0.4931947721265102,-0.6957592205213122,-0.754826924830591,-0.7766568378582498,-0.7559685172718373 
 01/12  09:00:00,21.6137553633439,21.12164563642199,21.109999560634577,21.109999973248566,21.109998188368657,-0.8401248893557616,-0.44428791125293265,-0.65494414360848,-0.708043960963006,-0.7418025323521483,-0.7244125457659693 
 01/12  10:00:00,22.01078605397837,21.230963030347553,21.109999999166348,21.109999999986794,21.109999994071206,3.9254875635636486,-0.36966500622016163,-0.6223851759549089,-0.6923060040451187,-0.712334984901926,-0.6984452121639777 
 01/12  11:00:00,22.179335936777907,21.345486913300462,20.716281950729773,21.109999999999992,21.088305082248837,7.038844036060233,-0.3278426111913485,-0.5866553278488036,-0.7384915512784793,-0.6892729816054365,-0.680856182022181 
